Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,wellness_program,leave
37,Female,United States,NA,No,Yes,Often,25-Jun,No,Yes,Yes,No,Somewhat easy
32,Male,Canada,NA,No,No,Rarely,25-Jun,No,Yes,No,No,Somewhat difficult
31,Male,United Kingdom,NA,Yes,Yes,Often,26-100,No,Yes,No,No,Somewhat difficult
31,Male,United States,NA,No,No,Never,100-500,Yes,Yes,Yes,Don't know,Don't know
33,Male,United States,NA,Yes,No,Sometimes,25-Jun,No,Yes,Yes,No,Don't know
35,Female,United States,NA,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,No,Somewhat difficult
39,M,Canada,NA,No,No,Never,05-Jan,Yes,Yes,No,No,Don't know
42,Female,United States,NA,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,Very difficult
23,Male,Canada,NA,No,No,Never,26-100,No,Yes,Don't know,Don't know,Don't know
31,Male,United States,NA,No,Yes,Sometimes,25-Jun,Yes,Yes,Don't know,No,Don't know
29,male,Bulgaria,NA,No,No,Never,100-500,Yes,Yes,Don't know,No,Don't know
36,Male,United States,NA,Yes,No,Never,500-1000,No,Yes,Don't know,No,Don't know
27,Male,Canada,NA,No,No,Never,25-Jun,No,Yes,Don't know,Don't know,Somewhat easy
29,female,United States,NA,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,Somewhat easy
23,Male,United Kingdom,NA,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Don't know,Very easy
32,Male,United States,NA,No,Yes,Sometimes,25-Jun,No,Yes,Yes,No,Don't know
46,male,United States,Yes,Yes,No,Sometimes,05-Jan,Yes,Yes,Yes,Yes,Very easy
36,Male,France,Yes,Yes,No,NA,25-Jun,Yes,Yes,No,Yes,Somewhat easy
29,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,Somewhat difficult
31,male,United States,Yes,No,No,Never,05-Jan,Yes,Yes,No,No,Somewhat difficult
46,Male,United States,No,No,Yes,Often,26-100,Yes,Yes,Yes,No,Don't know
33,male,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Don't know,Don't know
33,male,United States,No,No,No,NA,05-Jan,No,Yes,Don't know,No,Don't know
35,Female,United States,No,Yes,Yes,Rarely,25-Jun,Yes,Yes,Yes,Don't know,Don't know
34,male,United States,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Somewhat difficult
37,Male,United Kingdom,No,No,No,Sometimes,25-Jun,No,Yes,No,No,Very difficult
32,Male,United Kingdom,No,No,No,Never,25-Jun,Yes,Yes,No,No,Don't know
31,Male,United States,Yes,Yes,No,Rarely,05-Jan,Yes,Yes,No,No,Somewhat difficult
30,male,United Kingdom,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No,Somewhat easy
42,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Very easy
40,female,United States,No,No,Yes,Sometimes,05-Jan,No,Yes,Yes,No,Don't know
27,Male,United States,No,No,Yes,Rarely,25-Jun,No,Yes,No,No,Very easy
29,Male,Canada,No,No,No,Rarely,05-Jan,No,Yes,No,No,Very easy
38,Male,Portugal,No,No,No,NA,100-500,No,Yes,No,No,Somewhat easy
50,M,United States,No,No,No,NA,100-500,No,Yes,Yes,No,Don't know
35,M,United States,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,No,Very easy
24,Male,United Kingdom,No,No,Yes,Sometimes,25-Jun,No,Yes,No,No,Don't know
35,Male,United States,No,No,No,NA,More than 1000,Yes,Yes,Yes,Don't know,Somewhat difficult
27,Male,Canada,No,Yes,Yes,Sometimes,05-Jan,No,Yes,No,No,Very difficult
18,Male,Netherlands,No,No,No,Often,25-Jun,No,Yes,No,No,Somewhat difficult
30,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,No,Don't know
38,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Somewhat easy
28,Male,United Kingdom,No,No,No,NA,26-100,No,Yes,Don't know,No,Don't know
34,Male,United States,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
